time,AF7,AF8,ECG,PPG_Muse,participant_id,Condition
-0.3,3.4012333874624052,0.4688306384446877,-0.026399051112885024,130398.71323529411,sub-01,RestingState
-0.298,2.9296283568377617,1.3784093218459996,-0.025512951060983793,130398.63062585519,sub-01,RestingState
-0.296,2.5025674020957083,1.922295621684887,-0.024833398964893075,130398.4035225717,sub-01,RestingState
-0.294,2.4079296271368875,2.670003979037333,-0.024285887375349115,130398.18944938452,sub-01,RestingState
-0.292,2.70947581992315,3.964934045232772,-0.02353092847613243,130397.9689637483,sub-01,RestingState
-0.29,3.2328653566610144,5.718843752190182,-0.022752959849709216,130397.69646032833,sub-01,RestingState
-0.288,3.6951633398683974,7.53349966844318,-0.022004747155065733,130397.53970588246,sub-01,RestingState
-0.286,3.8861384402104635,9.014638805765223,-0.021159970285765887,130397.50619015061,sub-01,RestingState
-0.284,3.780063096193578,10.022035937336666,-0.020316048708432843,130397.52462380302,sub-01,RestingState
-0.282,3.516899435911969,10.681297948496212,-0.01959496790631741,130397.47310191525,sub-01,RestingState
-0.28,3.2788513821516294,11.17668289396152,-0.018911030656108954,130397.40933652547,sub-01,RestingState
-0.278,3.152432512503993,11.513936260241575,-0.018143938726821317,130397.21680916536,sub-01,RestingState
-0.276,3.0728429839948825,11.465468268502324,-0.017483156020294398,130396.99825581384,sub-01,RestingState
-0.274,2.8835419880453834,10.757548241647447,-0.016720511864857374,130396.81780095755,sub-01,RestingState
-0.272,2.466368522615777,9.365513654288865,-0.016027322489062426,130396.54410054725,sub-01,RestingState
-0.27,1.8488556139532637,7.674184098345942,-0.015299458815888182,130396.27409370731,sub-01,RestingState
-0.268,1.2128989142106452,6.341895059840961,-0.014496905129325138,130396.08575581401,sub-01,RestingState
-0.266,0.7977434033515689,5.917576107507017,-0.013652759646685006,130396.12108413127,sub-01,RestingState
-0.264,0.7555747544065631,6.448289653146926,-0.012905612829916566,130396.2686559509,sub-01,RestingState
-0.262,1.0547985611256645,7.364853668817603,-0.012291658863889613,130396.54237346121,sub-01,RestingState
-0.26,1.4952423569843443,7.764829565078022,-0.011715847746119957,130396.84091997264,sub-01,RestingState
-0.258,1.8219000391622604,6.946744942131191,-0.011183747460603145,130397.05437756491,sub-01,RestingState
-0.256,1.868284468902522,4.8729785566905965,-0.010516164028251368,130397.20280437752,sub-01,RestingState
-0.254,1.6409498097185617,2.252496871755835,-0.009969393637718652,130397.26244870047,sub-01,RestingState
-0.252,1.2969737909756525,0.16558019904169113,-0.009721023798208533,130397.1730848154,sub-01,RestingState
-0.25,1.0393779545515085,-0.5507914118567241,-0.00924475369580017,130396.9082763339,sub-01,RestingState
-0.248,1.0019657008042047,0.2246109410108124,-0.008812522728212053,130396.49066347469,sub-01,RestingState
-0.246,1.19448972858694,1.869339390128304,-0.008349049954094483,130395.97026333793,sub-01,RestingState
-0.244,1.534238068825651,3.4559274562883755,-0.007819238425600518,130395.43601231181,sub-01,RestingState
-0.242,1.925868543726105,4.3710434677648635,-0.007457037235388371,130395.05107729146,sub-01,RestingState
-0.24,2.3212063878581337,4.702944540010674,-0.007221720973471661,130394.77385430931,sub-01,RestingState
-0.238,2.7180613327064367,5.133946758797605,-0.0068017114662871254,130394.51569767448,sub-01,RestingState
-0.236,3.103268524636588,6.395499082586945,-0.006300523894685778,130394.23563611497,sub-01,RestingState
-0.234,3.3981013214712603,8.648159138257084,-0.005917561667918441,130394.00367647054,sub-01,RestingState
-0.232,3.4666914654194914,11.214401117144767,-0.005660788828193573,130393.92347811209,sub-01,RestingState
-0.23,3.1975179609147037,12.87415361106241,-0.0054379744714962985,130393.8247606022,sub-01,RestingState
-0.228,2.6105823053132062,12.571472138548396,-0.005339901025165581,130393.80872093017,sub-01,RestingState
-0.226,1.9067017162197624,10.095728344098108,-0.005144067712141952,130393.69380984965,sub-01,RestingState
-0.224,1.401629743747835,6.29264381813414,-0.004932252329238864,130393.5225376195,sub-01,RestingState
-0.222,1.3606829427113427,2.64031885190526,-0.0048066167933573335,130393.41766415858,sub-01,RestingState
-0.22,1.8253598539064186,0.4262508622841212,-0.004652123752074246,130393.53091655255,sub-01,RestingState
-0.218,2.5472397737823593,0.022735897369842002,-0.004548864489645479,130393.55596785227,sub-01,RestingState
-0.216,3.0908134471011155,0.7126443189209264,-0.004376344823214141,130393.45593365269,sub-01,RestingState
-0.214,3.066628894621405,1.1822534052335534,-0.004145902869901628,130393.44558823529,sub-01,RestingState
-0.212,2.3665663534776646,0.38045474227742193,-0.003909997603596121,130393.23936388498,sub-01,RestingState
-0.21,1.2587967068682955,-1.7852305013024508,-0.003742380980435676,130393.0314124487,sub-01,RestingState
-0.208,0.2728162500035585,-4.3515701533323154,-0.003679975868370279,130392.8716142272,sub-01,RestingState
-0.206,-0.0762881710488101,-5.866362073452034,-0.003391783707392963,130392.67777017795,sub-01,RestingState
-0.204,0.4242816086775611,-5.272824214595727,-0.003165609468876355,130392.4142783857,sub-01,RestingState
-0.202,1.5476447563821787,-2.572923341256354,-0.0030968995623492975,130392.31607387145,sub-01,RestingState
-0.2,2.7219907241302934,1.1318326602701954,-0.0029060577440697334,130392.35899452813,sub-01,RestingState
-0.198,3.310201013674394,4.239738412414657,-0.002980611517391726,130392.40559165529,sub-01,RestingState
-0.196,2.9248445073941878,5.520131378921886,-0.003059339318035881,130392.59098837213,sub-01,RestingState
-0.194,1.6125460579690043,4.742054820594522,-0.0031264263135317313,130392.82660738713,sub-01,RestingState
-0.192,-0.17978991173898975,2.7144211780268876,-0.0032206787290339784,130393.04001368003,sub-01,RestingState
